,passenger_id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,deck,embark_town,alone
75,75,0,3,male,25.0,0,0,7.65,S,Third,F,Southampton,1
76,76,0,3,male,,0,0,7.8958,S,Third,,Southampton,1
77,77,0,3,male,,0,0,8.05,S,Third,,Southampton,1
78,78,1,2,male,0.83,0,2,29.0,S,Second,,Southampton,0
79,79,1,3,female,30.0,0,0,12.475,S,Third,,Southampton,1
80,80,0,3,male,22.0,0,0,9.0,S,Third,,Southampton,1
81,81,1,3,male,29.0,0,0,9.5,S,Third,,Southampton,1
82,82,1,3,female,,0,0,7.7875,Q,Third,,Queenstown,1
83,83,0,1,male,28.0,0,0,47.1,S,First,,Southampton,1
84,84,1,2,female,17.0,0,0,10.5,S,Second,,Southampton,1
85,85,1,3,female,33.0,3,0,15.85,S,Third,,Southampton,0
86,86,0,3,male,16.0,1,3,34.375,S,Third,,Southampton,0
87,87,0,3,male,,0,0,8.05,S,Third,,Southampton,1
88,88,1,1,female,23.0,3,2,263.0,S,First,C,Southampton,0
89,89,0,3,male,24.0,0,0,8.05,S,Third,,Southampton,1
90,90,0,3,male,29.0,0,0,8.05,S,Third,,Southampton,1
91,91,0,3,male,20.0,0,0,7.8542,S,Third,,Southampton,1
92,92,0,1,male,46.0,1,0,61.175,S,First,E,Southampton,0
93,93,0,3,male,26.0,1,2,20.575,S,Third,,Southampton,0
94,94,0,3,male,59.0,0,0,7.25,S,Third,,Southampton,1
95,95,0,3,male,,0,0,8.05,S,Third,,Southampton,1
96,96,0,1,male,71.0,0,0,34.6542,C,First,A,Cherbourg,1
97,97,1,1,male,23.0,0,1,63.3583,C,First,D,Cherbourg,0
98,98,1,2,female,34.0,0,1,23.0,S,Second,,Southampton,0
99,99,0,2,male,34.0,1,0,26.0,S,Second,,Southampton,0
100,100,0,3,female,28.0,0,0,7.8958,S,Third,,Southampton,1
101,101,0,3,male,,0,0,7.8958,S,Third,,Southampton,1
102,102,0,1,male,21.0,0,1,77.2875,S,First,D,Southampton,0
103,103,0,3,male,33.0,0,0,8.6542,S,Third,,Southampton,1
104,104,0,3,male,37.0,2,0,7.925,S,Third,,Southampton,0
105,105,0,3,male,28.0,0,0,7.8958,S,Third,,Southampton,1
106,106,1,3,female,21.0,0,0,7.65,S,Third,,Southampton,1
107,107,1,3,male,,0,0,7.775,S,Third,,Southampton,1
108,108,0,3,male,38.0,0,0,7.8958,S,Third,,Southampton,1
109,109,1,3,female,,1,0,24.15,Q,Third,,Queenstown,0
110,110,0,1,male,47.0,0,0,52.0,S,First,C,Southampton,1
111,111,0,3,female,14.5,1,0,14.4542,C,Third,,Cherbourg,0
112,112,0,3,male,22.0,0,0,8.05,S,Third,,Southampton,1
113,113,0,3,female,20.0,1,0,9.825,S,Third,,Southampton,0
114,114,0,3,female,17.0,0,0,14.4583,C,Third,,Cherbourg,1
115,115,0,3,male,21.0,0,0,7.925,S,Third,,Southampton,1
116,116,0,3,male,70.5,0,0,7.75,Q,Third,,Queenstown,1
117,117,0,2,male,29.0,1,0,21.0,S,Second,,Southampton,0
118,118,0,1,male,24.0,0,1,247.5208,C,First,B,Cherbourg,0
119,119,0,3,female,2.0,4,2,31.275,S,Third,,Southampton,0
120,120,0,2,male,21.0,2,0,73.5,S,Second,,Southampton,0
121,121,0,3,male,,0,0,8.05,S,Third,,Southampton,1
122,122,0,2,male,32.5,1,0,30.0708,C,Second,,Cherbourg,0
123,123,1,2,female,32.5,0,0,13.0,S,Second,E,Southampton,1
124,124,0,1,male,54.0,0,1,77.2875,S,First,D,Southampton,0
125,125,1,3,male,12.0,1,0,11.2417,C,Third,,Cherbourg,0
126,126,0,3,male,,0,0,7.75,Q,Third,,Queenstown,1
127,127,1,3,male,24.0,0,0,7.1417,S,Third,,Southampton,1
128,128,1,3,female,,1,1,22.3583,C,Third,F,Cherbourg,0
129,129,0,3,male,45.0,0,0,6.975,S,Third,,Southampton,1
130,130,0,3,male,33.0,0,0,7.8958,C,Third,,Cherbourg,1
131,131,0,3,male,20.0,0,0,7.05,S,Third,,Southampton,1
132,132,0,3,female,47.0,1,0,14.5,S,Third,,Southampton,0
133,133,1,2,female,29.0,1,0,26.0,S,Second,,Southampton,0
134,134,0,2,male,25.0,0,0,13.0,S,Second,,Southampton,1
135,135,0,2,male,23.0,0,0,15.0458,C,Second,,Cherbourg,1
136,136,1,1,female,19.0,0,2,26.2833,S,First,D,Southampton,0
137,137,0,1,male,37.0,1,0,53.1,S,First,C,Southampton,0
138,138,0,3,male,16.0,0,0,9.2167,S,Third,,Southampton,1
139,139,0,1,male,24.0,0,0,79.2,C,First,B,Cherbourg,1
140,140,0,3,female,,0,2,15.2458,C,Third,,Cherbourg,0
141,141,1,3,female,22.0,0,0,7.75,S,Third,,Southampton,1
142,142,1,3,female,24.0,1,0,15.85,S,Third,,Southampton,0
143,143,0,3,male,19.0,0,0,6.75,Q,Third,,Queenstown,1
144,144,0,2,male,18.0,0,0,11.5,S,Second,,Southampton,1
145,145,0,2,male,19.0,1,1,36.75,S,Second,,Southampton,0
146,146,1,3,male,27.0,0,0,7.7958,S,Third,,Southampton,1
147,147,0,3,female,9.0,2,2,34.375,S,Third,,Southampton,0
148,148,0,2,male,36.5,0,2,26.0,S,Second,F,Southampton,0
149,149,0,2,male,42.0,0,0,13.0,S,Second,,Southampton,1
150,150,0,2,male,51.0,0,0,12.525,S,Second,,Southampton,1
151,151,1,1,female,22.0,1,0,66.6,S,First,C,Southampton,0
152,152,0,3,male,55.5,0,0,8.05,S,Third,,Southampton,1
153,153,0,3,male,40.5,0,2,14.5,S,Third,,Southampton,0
154,154,0,3,male,,0,0,7.3125,S,Third,,Southampton,1
155,155,0,1,male,51.0,0,1,61.3792,C,First,,Cherbourg,0
156,156,1,3,female,16.0,0,0,7.7333,Q,Third,,Queenstown,1
157,157,0,3,male,30.0,0,0,8.05,S,Third,,Southampton,1
158,158,0,3,male,,0,0,8.6625,S,Third,,Southampton,1
159,159,0,3,male,,8,2,69.55,S,Third,,Southampton,0
160,160,0,3,male,44.0,0,1,16.1,S,Third,,Southampton,0
161,161,1,2,female,40.0,0,0,15.75,S,Second,,Southampton,1
162,162,0,3,male,26.0,0,0,7.775,S,Third,,Southampton,1
163,163,0,3,male,17.0,0,0,8.6625,S,Third,,Southampton,1
164,164,0,3,male,1.0,4,1,39.6875,S,Third,,Southampton,0
165,165,1,3,male,9.0,0,2,20.525,S,Third,,Southampton,0
166,166,1,1,female,,0,1,55.0,S,First,E,Southampton,0
167,167,0,3,female,45.0,1,4,27.9,S,Third,,Southampton,0
168,168,0,1,male,,0,0,25.925,S,First,,Southampton,1
169,169,0,3,male,28.0,0,0,56.4958,S,Third,,Southampton,1
170,170,0,1,male,61.0,0,0,33.5,S,First,B,Southampton,1
171,171,0,3,male,4.0,4,1,29.125,Q,Third,,Queenstown,0
172,172,1,3,female,1.0,1,1,11.1333,S,Third,,Southampton,0
173,173,0,3,male,21.0,0,0,7.925,S,Third,,Southampton,1
174,174,0,1,male,56.0,0,0,30.6958,C,First,A,Cherbourg,1
175,175,0,3,male,18.0,1,1,7.8542,S,Third,,Southampton,0
176,176,0,3,male,,3,1,25.4667,S,Third,,Southampton,0
177,177,0,1,female,50.0,0,0,28.7125,C,First,C,Cherbourg,1
178,178,0,2,male,30.0,0,0,13.0,S,Second,,Southampton,1
179,179,0,3,male,36.0,0,0,0.0,S,Third,,Southampton,1
180,180,0,3,female,,8,2,69.55,S,Third,,Southampton,0
181,181,0,2,male,,0,0,15.05,C,Second,,Cherbourg,1
182,182,0,3,male,9.0,4,2,31.3875,S,Third,,Southampton,0
183,183,1,2,male,1.0,2,1,39.0,S,Second,F,Southampton,0
184,184,1,3,female,4.0,0,2,22.025,S,Third,,Southampton,0
185,185,0,1,male,,0,0,50.0,S,First,A,Southampton,1
186,186,1,3,female,,1,0,15.5,Q,Third,,Queenstown,0
187,187,1,1,male,45.0,0,0,26.55,S,First,,Southampton,1
188,188,0,3,male,40.0,1,1,15.5,Q,Third,,Queenstown,0
189,189,0,3,male,36.0,0,0,7.8958,S,Third,,Southampton,1
190,190,1,2,female,32.0,0,0,13.0,S,Second,,Southampton,1
191,191,0,2,male,19.0,0,0,13.0,S,Second,,Southampton,1
192,192,1,3,female,19.0,1,0,7.8542,S,Third,,Southampton,0
193,193,1,2,male,3.0,1,1,26.0,S,Second,F,Southampton,0
194,194,1,1,female,44.0,0,0,27.7208,C,First,B,Cherbourg,1
195,195,1,1,female,58.0,0,0,146.5208,C,First,B,Cherbourg,1
196,196,0,3,male,,0,0,7.75,Q,Third,,Queenstown,1
197,197,0,3,male,42.0,0,1,8.4042,S,Third,,Southampton,0
198,198,1,3,female,,0,0,7.75,Q,Third,,Queenstown,1
199,199,0,2,female,24.0,0,0,13.0,S,Second,,Southampton,1
200,200,0,3,male,28.0,0,0,9.5,S,Third,,Southampton,1
201,201,0,3,male,,8,2,69.55,S,Third,,Southampton,0
202,202,0,3,male,34.0,0,0,6.4958,S,Third,,Southampton,1
203,203,0,3,male,45.5,0,0,7.225,C,Third,,Cherbourg,1
204,204,1,3,male,18.0,0,0,8.05,S,Third,,Southampton,1
205,205,0,3,female,2.0,0,1,10.4625,S,Third,G,Southampton,0
206,206,0,3,male,32.0,1,0,15.85,S,Third,,Southampton,0
207,207,1,3,male,26.0,0,0,18.7875,C,Third,,Cherbourg,1
208,208,1,3,female,16.0,0,0,7.75,Q,Third,,Queenstown,1
209,209,1,1,male,40.0,0,0,31.0,C,First,A,Cherbourg,1
210,210,0,3,male,24.0,0,0,7.05,S,Third,,Southampton,1
211,211,1,2,female,35.0,0,0,21.0,S,Second,,Southampton,1
212,212,0,3,male,22.0,0,0,7.25,S,Third,,Southampton,1
213,213,0,2,male,30.0,0,0,13.0,S,Second,,Southampton,1
214,214,0,3,male,,1,0,7.75,Q,Third,,Queenstown,0
215,215,1,1,female,31.0,1,0,113.275,C,First,D,Cherbourg,0
216,216,1,3,female,27.0,0,0,7.925,S,Third,,Southampton,1
217,217,0,2,male,42.0,1,0,27.0,S,Second,,Southampton,0
218,218,1,1,female,32.0,0,0,76.2917,C,First,D,Cherbourg,1
219,219,0,2,male,30.0,0,0,10.5,S,Second,,Southampton,1
220,220,1,3,male,16.0,0,0,8.05,S,Third,,Southampton,1
221,221,0,2,male,27.0,0,0,13.0,S,Second,,Southampton,1
222,222,0,3,male,51.0,0,0,8.05,S,Third,,Southampton,1
223,223,0,3,male,,0,0,7.8958,S,Third,,Southampton,1
224,224,1,1,male,38.0,1,0,90.0,S,First,C,Southampton,0
225,225,0,3,male,22.0,0,0,9.35,S,Third,,Southampton,1
226,226,1,2,male,19.0,0,0,10.5,S,Second,,Southampton,1
227,227,0,3,male,20.5,0,0,7.25,S,Third,,Southampton,1
228,228,0,2,male,18.0,0,0,13.0,S,Second,,Southampton,1
229,229,0,3,female,,3,1,25.4667,S,Third,,Southampton,0
230,230,1,1,female,35.0,1,0,83.475,S,First,C,Southampton,0
231,231,0,3,male,29.0,0,0,7.775,S,Third,,Southampton,1
232,232,0,2,male,59.0,0,0,13.5,S,Second,,Southampton,1
233,233,1,3,female,5.0,4,2,31.3875,S,Third,,Southampton,0
234,234,0,2,male,24.0,0,0,10.5,S,Second,,Southampton,1
235,235,0,3,female,,0,0,7.55,S,Third,,Southampton,1
236,236,0,2,male,44.0,1,0,26.0,S,Second,,Southampton,0
237,237,1,2,female,8.0,0,2,26.25,S,Second,,Southampton,0
238,238,0,2,male,19.0,0,0,10.5,S,Second,,Southampton,1
239,239,0,2,male,33.0,0,0,12.275,S,Second,,Southampton,1
240,240,0,3,female,,1,0,14.4542,C,Third,,Cherbourg,0
241,241,1,3,female,,1,0,15.5,Q,Third,,Queenstown,0
242,242,0,2,male,29.0,0,0,10.5,S,Second,,Southampton,1
243,243,0,3,male,22.0,0,0,7.125,S,Third,,Southampton,1
244,244,0,3,male,30.0,0,0,7.225,C,Third,,Cherbourg,1
245,245,0,1,male,44.0,2,0,90.0,Q,First,C,Queenstown,0
246,246,0,3,female,25.0,0,0,7.775,S,Third,,Southampton,1
247,247,1,2,female,24.0,0,2,14.5,S,Second,,Southampton,0
248,248,1,1,male,37.0,1,1,52.5542,S,First,D,Southampton,0
249,249,0,2,male,54.0,1,0,26.0,S,Second,,Southampton,0
250,250,0,3,male,,0,0,7.25,S,Third,,Southampton,1
251,251,0,3,female,29.0,1,1,10.4625,S,Third,G,Southampton,0
252,252,0,1,male,62.0,0,0,26.55,S,First,C,Southampton,1
253,253,0,3,male,30.0,1,0,16.1,S,Third,,Southampton,0
254,254,0,3,female,41.0,0,2,20.2125,S,Third,,Southampton,0
255,255,1,3,female,29.0,0,2,15.2458,C,Third,,Cherbourg,0
256,256,1,1,female,,0,0,79.2,C,First,,Cherbourg,1
257,257,1,1,female,30.0,0,0,86.5,S,First,B,Southampton,1
258,258,1,1,female,35.0,0,0,512.3292,C,First,,Cherbourg,1
259,259,1,2,female,50.0,0,1,26.0,S,Second,,Southampton,0
260,260,0,3,male,,0,0,7.75,Q,Third,,Queenstown,1
261,261,1,3,male,3.0,4,2,31.3875,S,Third,,Southampton,0
262,262,0,1,male,52.0,1,1,79.65,S,First,E,Southampton,0
263,263,0,1,male,40.0,0,0,0.0,S,First,B,Southampton,1
264,264,0,3,female,,0,0,7.75,Q,Third,,Queenstown,1
265,265,0,2,male,36.0,0,0,10.5,S,Second,,Southampton,1
266,266,0,3,male,16.0,4,1,39.6875,S,Third,,Southampton,0
267,267,1,3,male,25.0,1,0,7.775,S,Third,,Southampton,0
268,268,1,1,female,58.0,0,1,153.4625,S,First,C,Southampton,0
269,269,1,1,female,35.0,0,0,135.6333,S,First,C,Southampton,1
270,270,0,1,male,,0,0,31.0,S,First,,Southampton,1
271,271,1,3,male,25.0,0,0,0.0,S,Third,,Southampton,1
272,272,1,2,female,41.0,0,1,19.5,S,Second,,Southampton,0
273,273,0,1,male,37.0,0,1,29.7,C,First,C,Cherbourg,0
274,274,1,3,female,,0,0,7.75,Q,Third,,Queenstown,1
275,275,1,1,female,63.0,1,0,77.9583,S,First,D,Southampton,0
276,276,0,3,female,45.0,0,0,7.75,S,Third,,Southampton,1
277,277,0,2,male,,0,0,0.0,S,Second,,Southampton,1
278,278,0,3,male,7.0,4,1,29.125,Q,Third,,Queenstown,0
279,279,1,3,female,35.0,1,1,20.25,S,Third,,Southampton,0
280,280,0,3,male,65.0,0,0,7.75,Q,Third,,Queenstown,1
281,281,0,3,male,28.0,0,0,7.8542,S,Third,,Southampton,1
282,282,0,3,male,16.0,0,0,9.5,S,Third,,Southampton,1
283,283,1,3,male,19.0,0,0,8.05,S,Third,,Southampton,1
284,284,0,1,male,,0,0,26.0,S,First,A,Southampton,1
285,285,0,3,male,33.0,0,0,8.6625,C,Third,,Cherbourg,1
286,286,1,3,male,30.0,0,0,9.5,S,Third,,Southampton,1
287,287,0,3,male,22.0,0,0,7.8958,S,Third,,Southampton,1
288,288,1,2,male,42.0,0,0,13.0,S,Second,,Southampton,1
289,289,1,3,female,22.0,0,0,7.75,Q,Third,,Queenstown,1
290,290,1,1,female,26.0,0,0,78.85,S,First,,Southampton,1
291,291,1,1,female,19.0,1,0,91.0792,C,First,B,Cherbourg,0
292,292,0,2,male,36.0,0,0,12.875,C,Second,D,Cherbourg,1
293,293,0,3,female,24.0,0,0,8.85,S,Third,,Southampton,1
294,294,0,3,male,24.0,0,0,7.8958,S,Third,,Southampton,1
295,295,0,1,male,,0,0,27.7208,C,First,,Cherbourg,1
296,296,0,3,male,23.5,0,0,7.2292,C,Third,,Cherbourg,1
297,297,0,1,female,2.0,1,2,151.55,S,First,C,Southampton,0
298,298,1,1,male,,0,0,30.5,S,First,C,Southampton,1
299,299,1,1,female,50.0,0,1,247.5208,C,First,B,Cherbourg,0
300,300,1,3,female,,0,0,7.75,Q,Third,,Queenstown,1
301,301,1,3,male,,2,0,23.25,Q,Third,,Queenstown,0
302,302,0,3,male,19.0,0,0,0.0,S,Third,,Southampton,1
303,303,1,2,female,,0,0,12.35,Q,Second,E,Queenstown,1
304,304,0,3,male,,0,0,8.05,S,Third,,Southampton,1
305,305,1,1,male,0.92,1,2,151.55,S,First,C,Southampton,0
306,306,1,1,female,,0,0,110.8833,C,First,,Cherbourg,1
307,307,1,1,female,17.0,1,0,108.9,C,First,C,Cherbourg,0
308,308,0,2,male,30.0,1,0,24.0,C,Second,,Cherbourg,0
309,309,1,1,female,30.0,0,0,56.9292,C,First,E,Cherbourg,1
310,310,1,1,female,24.0,0,0,83.1583,C,First,C,Cherbourg,1
311,311,1,1,female,18.0,2,2,262.375,C,First,B,Cherbourg,0
312,312,0,2,female,26.0,1,1,26.0,S,Second,,Southampton,0
313,313,0,3,male,28.0,0,0,7.8958,S,Third,,Southampton,1
314,314,0,2,male,43.0,1,1,26.25,S,Second,,Southampton,0
315,315,1,3,female,26.0,0,0,7.8542,S,Third,,Southampton,1
316,316,1,2,female,24.0,1,0,26.0,S,Second,,Southampton,0
317,317,0,2,male,54.0,0,0,14.0,S,Second,,Southampton,1
318,318,1,1,female,31.0,0,2,164.8667,S,First,C,Southampton,0
319,319,1,1,female,40.0,1,1,134.5,C,First,E,Cherbourg,0
320,320,0,3,male,22.0,0,0,7.25,S,Third,,Southampton,1
321,321,0,3,male,27.0,0,0,7.8958,S,Third,,Southampton,1
322,322,1,2,female,30.0,0,0,12.35,Q,Second,,Queenstown,1
323,323,1,2,female,22.0,1,1,29.0,S,Second,,Southampton,0
324,324,0,3,male,,8,2,69.55,S,Third,,Southampton,0
325,325,1,1,female,36.0,0,0,135.6333,C,First,C,Cherbourg,1
326,326,0,3,male,61.0,0,0,6.2375,S,Third,,Southampton,1
327,327,1,2,female,36.0,0,0,13.0,S,Second,D,Southampton,1
328,328,1,3,female,31.0,1,1,20.525,S,Third,,Southampton,0
329,329,1,1,female,16.0,0,1,57.9792,C,First,B,Cherbourg,0
330,330,1,3,female,,2,0,23.25,Q,Third,,Queenstown,0
331,331,0,1,male,45.5,0,0,28.5,S,First,C,Southampton,1
332,332,0,1,male,38.0,0,1,153.4625,S,First,C,Southampton,0
333,333,0,3,male,16.0,2,0,18.0,S,Third,,Southampton,0
334,334,1,1,female,,1,0,133.65,S,First,,Southampton,0
335,335,0,3,male,,0,0,7.8958,S,Third,,Southampton,1
336,336,0,1,male,29.0,1,0,66.6,S,First,C,Southampton,0
337,337,1,1,female,41.0,0,0,134.5,C,First,E,Cherbourg,1
338,338,1,3,male,45.0,0,0,8.05,S,Third,,Southampton,1
339,339,0,1,male,45.0,0,0,35.5,S,First,,Southampton,1
340,340,1,2,male,2.0,1,1,26.0,S,Second,F,Southampton,0
341,341,1,1,female,24.0,3,2,263.0,S,First,C,Southampton,0
342,342,0,2,male,28.0,0,0,13.0,S,Second,,Southampton,1
343,343,0,2,male,25.0,0,0,13.0,S,Second,,Southampton,1
344,344,0,2,male,36.0,0,0,13.0,S,Second,,Southampton,1
345,345,1,2,female,24.0,0,0,13.0,S,Second,F,Southampton,1
346,346,1,2,female,40.0,0,0,13.0,S,Second,,Southampton,1
347,347,1,3,female,,1,0,16.1,S,Third,,Southampton,0
348,348,1,3,male,3.0,1,1,15.9,S,Third,,Southampton,0
349,349,0,3,male,42.0,0,0,8.6625,S,Third,,Southampton,1
350,350,0,3,male,23.0,0,0,9.225,S,Third,,Southampton,1
351,351,0,1,male,,0,0,35.0,S,First,C,Southampton,1
352,352,0,3,male,15.0,1,1,7.2292,C,Third,,Cherbourg,0
353,353,0,3,male,25.0,1,0,17.8,S,Third,,Southampton,0
354,354,0,3,male,,0,0,7.225,C,Third,,Cherbourg,1
355,355,0,3,male,28.0,0,0,9.5,S,Third,,Southampton,1
356,356,1,1,female,22.0,0,1,55.0,S,First,E,Southampton,0
357,357,0,2,female,38.0,0,0,13.0,S,Second,,Southampton,1
358,358,1,3,female,,0,0,7.8792,Q,Third,,Queenstown,1
359,359,1,3,female,,0,0,7.8792,Q,Third,,Queenstown,1
360,360,0,3,male,40.0,1,4,27.9,S,Third,,Southampton,0
361,361,0,2,male,29.0,1,0,27.7208,C,Second,,Cherbourg,0
362,362,0,3,female,45.0,0,1,14.4542,C,Third,,Cherbourg,0
363,363,0,3,male,35.0,0,0,7.05,S,Third,,Southampton,1
364,364,0,3,male,,1,0,15.5,Q,Third,,Queenstown,0
365,365,0,3,male,30.0,0,0,7.25,S,Third,,Southampton,1
366,366,1,1,female,60.0,1,0,75.25,C,First,D,Cherbourg,0
367,367,1,3,female,,0,0,7.2292,C,Third,,Cherbourg,1
368,368,1,3,female,,0,0,7.75,Q,Third,,Queenstown,1
369,369,1,1,female,24.0,0,0,69.3,C,First,B,Cherbourg,1
370,370,1,1,male,25.0,1,0,55.4417,C,First,E,Cherbourg,0
371,371,0,3,male,18.0,1,0,6.4958,S,Third,,Southampton,0
372,372,0,3,male,19.0,0,0,8.05,S,Third,,Southampton,1
373,373,0,1,male,22.0,0,0,135.6333,C,First,,Cherbourg,1
374,374,0,3,female,3.0,3,1,21.075,S,Third,,Southampton,0
375,375,1,1,female,,1,0,82.1708,C,First,,Cherbourg,0
376,376,1,3,female,22.0,0,0,7.25,S,Third,,Southampton,1
377,377,0,1,male,27.0,0,2,211.5,C,First,C,Cherbourg,0
378,378,0,3,male,20.0,0,0,4.0125,C,Third,,Cherbourg,1
379,379,0,3,male,19.0,0,0,7.775,S,Third,,Southampton,1
380,380,1,1,female,42.0,0,0,227.525,C,First,,Cherbourg,1
381,381,1,3,female,1.0,0,2,15.7417,C,Third,,Cherbourg,0
382,382,0,3,male,32.0,0,0,7.925,S,Third,,Southampton,1
383,383,1,1,female,35.0,1,0,52.0,S,First,,Southampton,0
384,384,0,3,male,,0,0,7.8958,S,Third,,Southampton,1
385,385,0,2,male,18.0,0,0,73.5,S,Second,,Southampton,1
386,386,0,3,male,1.0,5,2,46.9,S,Third,,Southampton,0
387,387,1,2,female,36.0,0,0,13.0,S,Second,,Southampton,1
388,388,0,3,male,,0,0,7.7292,Q,Third,,Queenstown,1
389,389,1,2,female,17.0,0,0,12.0,C,Second,,Cherbourg,1
390,390,1,1,male,36.0,1,2,120.0,S,First,B,Southampton,0
391,391,1,3,male,21.0,0,0,7.7958,S,Third,,Southampton,1
392,392,0,3,male,28.0,2,0,7.925,S,Third,,Southampton,0
